   0,             	   0,	
   3.1605040633024113e+00,	   2.0686768249081844e+00,	
   7.2219948906952665e+00,	   4.3780209770710981e+00,	
   1.0131358187696627e+01,	   2.2973376240550940e+00,	
   10,                      	   2.0718451712993171e+00,	
   14,                    	   2.0398070970163062e+00,	
   2.3250519756146947e+01,	   2.7056647130554112e+00,	
   3.4791391023365961e+01,	   1.1235669353786459e-01,	
   5.1392037205281959e+01,	   1.1e-01,	
   5.6374206082719716e+01,	  0,	
   7.3744831592771902e+01,	   0,	
