Day,rna,
0,"	                              0","	"
3.19E+00,"	   0","	"
7.17E+00,"	   3.7555086109794646e+00","	"
9.83E+00,"	   4.0426586572708434e+00","	"
14,"	   3.2398513675813367e+00","	"
1.80E+01,"	   2.9177881538921842e+00","	"
25,"	   2.3680987233585440e+00","	"
3.51E+01,"	   1.6906152404422763e+00","	"
59,"               	          1.6097924252136511e-01","	"
70,"                                0	",
